,Family 1,Family 2,Scicore 1,Scicore 2,Diff Score
254,Icefrog,Icefrog,False,False,88.0
255,,,,,
256,IceXLoader,IceXLoader,False,False,79.0
257,IceXLoader,IceXLoader,False,False,79.0
258,IceXLoader,IceXLoader,False,False,74.0
259,IceXLoader,IceXLoader,False,False,75.0
260,IceXLoader,IceXLoader,False,False,74.0
261,IceXLoader,IceXLoader,False,False,75.0
262,IceXLoader,CertiShell,False,False,82.0
263,,,,,
264,,,,,
265,,,,,
266,,,,,
267,,,,,
268,,,,,
269,,,,,
270,,,,,
271,,,,,
272,,,,,
273,,,,,
274,,,,,
275,,,,,
276,ImminentMonitor,ImminentMonitor,False,False,52.0
277,,,,,
278,,,,,
279,,,,,
280,,,,,
281,,,,,
282,,,,,
283,,,,,
284,,,,,
285,,,,,
286,,,,,
287,,,,,
288,,,,,
289,,,,,
290,,,,,
291,,,,,
292,,,,,
293,,,,,
294,,,,,
295,,,,,
296,,,,,
297,,,,,
298,,,,,
299,ImminentMonitor,ImminentMonitor,False,False,57.0
300,,,,,
301,,,,,
302,,,,,
303,ImminentMonitor,LeetMX,False,False,49.0
304,,,,,
305,,,,,
306,,,,,
307,,,,,
308,,,,,
309,ImminentMonitor,ImminentMonitor,False,False,47.0
310,,,,,
311,,,,,
312,,,,,
313,,,,,
314,,,,,
315,,,,,
316,,,,,
317,,,,,
318,,,,,
319,,,,,
320,,,,,
321,,,,,
322,,,,,
323,,,,,
324,,,,,
325,,,,,
326,ImminentMonitor,NetWireRAT,False,False,77.0
327,,,,,
328,,,,,
329,,,,,
330,,,,,
331,,,,,
332,,,,,
333,,,,,
334,,,,,
335,,,,,
336,,,,,
337,ImminentMonitor,Keybase,False,False,60.0
338,ImminentMonitor,ImminentMonitor,False,False,43.0
339,,,,,
340,,,,,
341,ImminentMonitor,Keybase,False,False,66.0
342,,,,,
343,,,,,
344,,,,,
345,,,,,
346,,,,,
347,ImminentMonitor,ImminentMonitor,False,False,35.0
348,,,,,
349,ImminentMonitor,Keybase,False,False,33.0
350,,,,,
351,,,,,
352,,,,,
353,,,,,
354,,,,,
355,,,,,
356,,,,,
357,,,,,
358,,,,,
359,,,,,
360,,,,,
361,,,,,
362,,,,,
363,ImminentMonitor,LeetMX,False,False,63.0
364,,,,,
365,,,,,
366,,,,,
367,ImminentMonitor,ImminentMonitor,False,False,71.0
368,,,,,
369,,,,,
370,,,,,
371,,,,,
372,,,,,
373,,,,,
374,,,,,
375,,,,,
376,,,,,
377,,,,,
378,,,,,
379,,,,,
380,,,,,
381,,,,,
382,,,,,
383,,,,,
384,,,,,
385,,,,,
386,,,,,
387,,,,,
388,,,,,
389,,,,,
390,ImminentMonitor,ImminentMonitor,False,False,61.0
391,,,,,
392,,,,,
393,,,,,
394,,,,,
395,,,,,
396,ImminentMonitor,ImminentMonitor,False,False,29.0
397,,,,,
398,,,,,
399,,,,,
400,,,,,
401,,,,,
402,Infy,Infy,False,False,90.0
403,Infy,Infy,False,False,99.0
404,Infy,Infy,False,False,74.0
405,Infy,Infy,False,False,94.0
406,,,,,
407,Infy,Infy,False,False,90.0
408,,,,,
409,Infy,Infy,False,False,74.0
410,Infy,Infy,False,False,94.0
411,Infy,Infy,False,False,71.0
412,Infy,Infy,False,False,83.0
413,,,,,
414,Infy,Infy,False,False,99.0
415,Infy,Infy,False,False,96.0
416,Infy,Infy,False,False,99.0
417,Infy,Infy,False,False,77.0
418,Infy,Infy,False,False,50.0
419,Infy,Infy,False,False,97.0
420,Infy,Infy,False,False,82.0
421,,,,,
422,Infy,Infy,False,False,97.0
423,,,,,
424,,,,,
425,Infy,Infy,False,False,96.0
426,Infy,Infy,False,False,97.0
427,Infy,Infy,False,False,77.0
428,Infy,Infy,False,False,91.0
429,Infy,Infy,False,False,91.0
430,Infy,Infy,False,False,96.0
431,Infy,Infy,False,False,96.0
432,Infy,Infy,False,False,91.0
433,Infy,Infy,False,False,88.0
434,Infy,Infy,False,False,93.0
435,Infy,Infy,False,False,97.0
436,Infy,Infy,False,False,74.0
437,,,,,
438,Infy,Infy,False,False,74.0
439,Infy,Infy,False,False,99.0
440,Infy,Infy,False,False,99.0
441,,,,,
442,Infy,Infy,False,False,94.0
443,Infy,Infy,False,False,85.0
444,Infy,Infy,False,False,46.0
445,,,,,
446,Infy,Infy,False,False,82.0
447,Infy,Infy,False,False,91.0
448,Infy,Infy,False,False,94.0
449,Infy,Infy,False,False,99.0
450,Infy,Infy,False,False,46.0
451,Infy,Infy,False,False,97.0
452,Infy,Infy,False,False,85.0
453,Infy,Infy,False,False,97.0
454,Infy,Infy,False,False,43.0
455,Infy,Infy,False,False,97.0
456,Infy,Infy,False,False,82.0
457,Infy,Infy,False,False,99.0
458,Infy,Infy,False,False,63.0
459,Infy,Infy,False,False,44.0
460,,,,,
461,Infy,Infy,False,False,88.0
462,Infy,Infy,False,False,43.0
463,Infy,Infy,False,False,97.0
464,Infy,Koadic,False,False,91.0
465,Infy,Infy,False,False,93.0
466,Infy,Infy,False,False,71.0
467,Infy,Infy,False,False,91.0
468,Infy,Infy,False,False,96.0
469,,,,,
470,Infy,Infy,False,False,94.0
471,Infy,Infy,False,False,46.0
472,Infy,Infy,False,False,82.0
473,Infy,Infy,False,False,82.0
474,Infy,Infy,False,False,99.0
475,Infy,Infy,False,False,68.0
476,Infy,Infy,False,False,86.0
477,Infy,Infy,False,False,86.0
478,Infy,Infy,False,False,90.0
479,Infy,Infy,False,False,93.0
480,Infy,Infy,False,False,72.0
481,Infy,Infy,False,False,75.0
482,Infy,Infy,False,False,100.0
483,Infy,Infy,False,False,44.0
484,Infy,Infy,False,False,69.0
485,Infy,Infy,False,False,94.0
486,Infy,Infy,False,False,99.0
487,Infy,Infy,False,False,69.0
488,Infy,Infy,False,False,65.0
489,Infy,Koadic,False,False,33.0
490,,,,,
491,Infy,Infy,False,False,99.0
492,,,,,
493,Infy,Infy,False,False,90.0
494,Infy,Infy,False,False,77.0
495,Infy,Infy,False,False,82.0
496,Infy,Infy,False,False,71.0
497,Infy,Infy,False,False,75.0
498,Infy,Infy,False,False,93.0
499,Infy,Infy,False,False,99.0
500,Infy,Infy,False,False,96.0
501,Infy,Infy,False,False,68.0
502,Infy,Infy,False,False,71.0
503,Infy,Infy,False,False,91.0
504,Infy,Infy,False,False,97.0
505,Infy,Infy,False,False,79.0
506,Infy,Infy,False,False,75.0
507,Infy,Infy,False,False,71.0
508,Infy,Infy,False,False,74.0
509,,,,,
510,Infy,Infy,False,False,90.0
511,Infy,Infy,False,False,90.0
512,Infy,Infy,False,False,82.0
513,,,,,
514,Infy,Infy,False,False,99.0
515,Infy,Infy,False,False,44.0
516,Infy,Infy,False,False,99.0
517,Infy,Infy,False,False,83.0
518,,,,,
519,Infy,Infy,False,False,49.0
520,Infy,Infy,False,False,72.0
521,Infy,Infy,False,False,75.0
522,,,,,
523,Infy,Infy,False,False,99.0
524,Infy,Infy,False,False,72.0
525,Infy,Infy,False,False,91.0
526,Infy,Infy,False,False,99.0
527,Infy,Infy,False,False,88.0
528,Infy,Infy,False,False,68.0
529,,,,,
530,Infy,Infy,False,False,97.0
531,Infy,Infy,False,False,69.0
532,Infy,Infy,False,False,71.0
533,Infy,Infy,False,False,35.0
534,Infy,Infy,False,False,93.0
535,Infy,Infy,False,False,83.0
536,,,,,
537,Infy,Infy,False,False,75.0
538,Infy,Infy,False,False,72.0
539,Infy,Infy,False,False,93.0
540,Infy,Infy,False,False,66.0
541,Infy,Infy,False,False,69.0
542,Infy,Infy,False,False,75.0
543,Infy,Infy,False,False,71.0
544,,,,,
545,Infy,Infy,False,False,90.0
546,,,,,
547,Infy,Infy,False,False,85.0
548,,,,,
549,Infy,Infy,False,False,75.0
550,,,,,
551,Infy,Infy,False,False,52.0
552,Infy,Infy,False,False,86.0
553,Infy,Infy,False,False,91.0
554,Infy,Infy,False,False,91.0
555,Infy,Infy,False,False,52.0
556,Infy,Infy,False,False,100.0
557,Infy,Infy,False,False,50.0
558,,,,,
559,Infy,Infy,False,False,74.0
560,Infy,Infy,False,False,88.0
561,Infy,Infy,False,False,91.0
562,Infy,Infy,False,False,85.0
563,Infy,Infy,False,False,72.0
564,Infy,Infy,False,False,66.0
565,Infy,Infy,False,False,91.0
566,Infy,Infy,False,False,63.0
567,Infy,Infy,False,False,99.0
568,Infy,Infy,False,False,86.0
569,Infy,Infy,False,False,100.0
570,Infy,Infy,False,False,50.0
571,Infy,Infy,False,False,68.0
572,Infy,Infy,False,False,58.0
573,,,,,
574,Infy,Infy,False,False,74.0
575,Infy,Infy,False,False,91.0
576,Infy,Infy,False,False,69.0
577,Infy,Infy,False,False,71.0
578,Infy,Infy,False,False,96.0
579,Infy,Infy,False,False,75.0
580,Infy,Infy,False,False,100.0
581,Infy,Bankshot,False,False,41.0
582,Infy,Infy,False,False,69.0
583,Infy,Infy,False,False,75.0
584,Infy,Infy,False,False,60.0
585,Infy,Infy,False,False,79.0
586,Infy,Infy,False,False,100.0
587,Infy,Infy,False,False,72.0
588,Infy,Infy,False,False,55.0
589,Infy,Infy,False,False,77.0
590,Infy,Infy,False,False,83.0
591,,,,,
592,Infy,Infy,False,False,52.0
593,Infy,Infy,False,False,52.0
594,,,,,
595,Infy,Infy,False,False,94.0
596,,,,,
597,Infy,Infy,False,False,100.0
598,Infy,Infy,False,False,93.0
599,Infy,Infy,False,False,93.0
600,,,,,
601,GoziIsfb,GoziIsfb,False,False,72.0
602,,,,,
603,GoziIsfb,GoziIsfb,False,False,94.0
604,IcedId,IcedId,False,False,99.0
605,GoziIsfb,GoziIsfb,False,False,91.0
606,GoziIsfb,GoziIsfb,False,False,32.0
607,IcedId,IcedId,False,False,99.0
608,IcedId,IcedId,False,False,100.0
609,IcedId,IcedId,False,False,99.0
610,IcedId,IcedId,False,False,99.0
611,,,,,
612,GoziIsfb,GoziIsfb,False,False,99.0
613,,,,,
614,,,,,
615,,,,,
616,IcedId,IcedId,False,False,99.0
617,GoziIsfb,GoziIsfb,False,False,99.0
618,,,,,
619,,,,,
620,GoziIsfb,GoziIsfb,False,False,61.0
621,GoziIsfb,GoziIsfb,False,False,54.0
622,GoziIsfb,GoziIsfb,False,False,99.0
623,,,,,
624,GoziIsfb,GoziIsfb,False,False,41.0
625,,,,,
626,GoziIsfb,GoziIsfb,False,False,25.0
627,GoziIsfb,GoziIsfb,False,False,99.0
628,GoziIsfb,GoziIsfb,False,False,38.0
629,,,,,
630,,,,,
631,,,,,
632,,,,,
633,GoziIsfb,GoziIsfb,False,False,96.0
634,GoziIsfb,GoziIsfb,False,False,96.0
635,GoziIsfb,GoziIsfb,False,False,91.0
636,,,,,
637,GoziIsfb,GoziIsfb,False,False,57.0
638,SmokeLoader,SmokeLoader,False,False,93.0
639,GoziIsfb,GoziIsfb,False,False,35.0
640,,,,,
641,IcedId,IcedId,False,False,99.0
642,IcedId,IcedId,False,False,85.0
643,,,,,
644,,,,,
645,GoziIsfb,GoziIsfb,False,False,93.0
646,GoziIsfb,GoziIsfb,False,False,55.0
647,,,,,
648,IcedId,IcedId,False,False,99.0
649,GoziIsfb,GoziIsfb,False,False,99.0
650,SmokeLoader,SmokeLoader,False,False,97.0
651,IcedId,IcedId,False,False,99.0
652,GoziIsfb,GoziIsfb,False,False,99.0
653,GoziIsfb,GoziIsfb,False,False,96.0
654,,,,,
655,,,,,
656,GoziIsfb,GoziIsfb,False,False,91.0
657,,,,,
658,GoziIsfb,GoziIsfb,False,False,35.0
659,,,,,
660,GoziIsfb,GoziIsfb,False,False,41.0
661,GoziIsfb,GoziIsfb,False,False,58.0
662,GoziIsfb,GoziIsfb,False,False,60.0
663,,,,,
664,IcedId,IcedId,False,False,36.0
665,IcedId,IcedId,False,False,97.0
666,GoziIsfb,GoziIsfb,False,False,93.0
667,GoziIsfb,GoziIsfb,False,False,93.0
668,GoziIsfb,GoziIsfb,False,False,99.0
669,,,,,
670,SmokeLoader,zLoader,False,False,99.0
671,,,,,
672,GoziIsfb,GoziIsfb,False,False,100.0
673,,,,,
674,GoziIsfb,GoziIsfb,False,False,32.0
675,GoziIsfb,GoziIsfb,False,False,93.0
676,GoziIsfb,GoziIsfb,False,False,99.0
677,,,,,
678,IcedId,IcedId,False,False,99.0
679,GoziIsfb,GoziIsfb,False,False,97.0
680,,,,,
681,GoziIsfb,GoziIsfb,False,False,93.0
682,,,,,
683,GoziIsfb,GoziIsfb,False,False,41.0
684,,,,,
685,GoziIsfb,GoziIsfb,False,False,100.0
686,GoziIsfb,GoziIsfb,False,False,100.0
687,IcedId,IcedId,False,False,99.0
688,GoziIsfb,GoziIsfb,False,False,99.0
689,,,,,
690,IcedId,IcedId,False,False,99.0
691,GoziIsfb,GoziIsfb,False,False,100.0
692,GoziIsfb,GoziIsfb,False,False,46.0
693,,,,,
694,,,,,
695,,,,,
696,,,,,
697,GoziIsfb,GoziIsfb,False,False,91.0
698,GoziIsfb,GoziIsfb,False,False,75.0
699,,,,,
700,GoziIsfb,GoziIsfb,False,False,27.0
701,GoziIsfb,GoziIsfb,False,False,93.0
702,GoziIsfb,GoziIsfb,False,False,96.0
703,GoziIsfb,GoziIsfb,False,False,65.0
704,,,,,
705,GoziIsfb,GoziIsfb,False,False,99.0
706,,,,,
707,GoziIsfb,GoziIsfb,False,False,99.0
708,IcedId,IcedId,False,False,56.0
709,IcedId,IcedId,False,False,100.0
710,IcedId,IcedId,False,False,40.0
711,IcedId,IcedId,False,False,99.0
712,GoziIsfb,GoziIsfb,False,False,94.0
713,GoziIsfb,GoziIsfb,False,False,96.0
714,IcedId,IcedId,False,False,99.0
715,IcedId,IcedId,False,False,99.0
716,GoziIsfb,GoziIsfb,False,False,99.0
717,GoziIsfb,GoziIsfb,False,False,96.0
718,GoziIsfb,GoziIsfb,False,False,97.0
719,GoziIsfb,GoziIsfb,False,False,96.0
720,GoziIsfb,GoziIsfb,False,False,97.0
721,IcedId,IcedId,False,False,99.0
722,GoziIsfb,GoziIsfb,False,False,97.0
723,,,,,
724,,,,,
725,GoziIsfb,GoziIsfb,False,False,33.0
726,,,,,
727,IcedId,IcedId,False,False,99.0
728,GoziIsfb,GoziIsfb,False,False,63.0
729,,,,,
730,GoziIsfb,GoziIsfb,False,False,99.0
731,,,,,
732,GoziIsfb,GoziIsfb,False,False,99.0
733,,,,,
734,GoziIsfb,zLoader,False,False,91.0
735,GoziIsfb,GoziIsfb,False,False,100.0
736,,,,,
737,GoziIsfb,GoziIsfb,False,False,41.0
738,,,,,
739,,,,,
740,IcedId,IcedId,False,False,99.0
741,,,,,
742,IcedId,IcedId,False,False,82.0
743,,,,,
744,IcedId,IcedId,False,False,99.0
745,IcedId,IcedId,False,False,99.0
746,,,,,
747,IcedId,IcedId,False,False,74.0
748,GoziIsfb,GoziIsfb,False,False,69.0
749,,,,,
750,GoziIsfb,GoziIsfb,False,False,100.0
751,GoziIsfb,GoziIsfb,False,False,75.0
752,GoziIsfb,GoziIsfb,False,False,88.0
753,,,,,
754,,,,,
755,IcedId,IcedId,False,False,99.0
756,GoziIsfb,GoziIsfb,False,False,96.0
757,SmokeLoader,SmokeLoader,False,False,90.0
758,,,,,
759,GoziIsfb,GoziIsfb,False,False,30.0
760,,,,,
761,IcedId,IcedId,False,False,99.0
762,GoziIsfb,GoziIsfb,False,False,99.0
763,GoziIsfb,GoziIsfb,False,False,99.0
764,,,,,
765,GoziIsfb,GoziIsfb,False,False,93.0
766,,,,,
767,,,,,
768,,,,,
769,,,,,
770,,,,,
771,,,,,
772,GoziIsfb,GoziIsfb,False,False,97.0
773,GoziIsfb,GoziIsfb,False,False,46.0
774,,,,,
775,,,,,
776,,,,,
777,,,,,
778,GoziIsfb,GoziIsfb,False,False,36.0
779,,,,,
780,GoziIsfb,GoziIsfb,False,False,96.0
781,GoziIsfb,GoziIsfb,False,False,99.0
782,GoziIsfb,GoziIsfb,False,False,24.0
783,IcedId,IcedId,False,False,99.0
784,GoziIsfb,GoziIsfb,False,False,94.0
785,GoziIsfb,GoziIsfb,False,False,99.0
786,,,,,
787,GoziIsfb,GoziIsfb,False,False,100.0
788,GoziIsfb,GoziIsfb,False,False,99.0
789,,,,,
790,,,,,
791,GoziIsfb,GoziIsfb,False,False,83.0
792,,,,,
793,GoziIsfb,GoziIsfb,False,False,54.0
794,IcedId,IcedId,False,False,99.0
795,GoziIsfb,GoziIsfb,False,False,57.0
796,,,,,
797,,,,,
798,GoziIsfb,GoziIsfb,False,False,100.0
799,GoziIsfb,GoziIsfb,False,False,32.0
800,GootLoader,GootLoader,False,False,85.0
801,GootLoader,GootLoader,False,False,82.0
802,GootLoader,GootLoader,False,False,83.0
803,GootLoader,GootLoader,False,False,82.0
804,GootLoader,GootLoader,False,False,82.0
805,GootLoader,GootLoader,False,False,80.0
806,GootLoader,GootLoader,False,False,83.0
807,GootLoader,GootLoader,False,False,80.0
808,GootLoader,GootLoader,False,False,82.0
809,GootLoader,GootLoader,False,False,82.0
810,GootLoader,GootLoader,False,False,85.0
811,GootLoader,GootLoader,False,False,83.0
812,GootLoader,GootLoader,False,False,82.0
813,GootLoader,GootLoader,False,False,80.0
814,GootLoader,GootLoader,False,False,82.0
815,GootLoader,GootLoader,False,False,86.0
816,GootLoader,GootLoader,False,False,82.0
817,GootLoader,GootLoader,False,False,85.0
818,GootLoader,GootLoader,False,False,86.0
819,GootLoader,GootLoader,False,False,83.0
820,GootLoader,GootLoader,False,False,82.0
821,GootLoader,GootLoader,False,False,82.0
822,GootLoader,GootLoader,False,False,83.0
823,GootLoader,GootLoader,False,False,79.0
824,GootLoader,GootLoader,False,False,83.0
825,GootLoader,GootLoader,False,False,85.0
826,GootLoader,GootLoader,False,False,80.0
827,GootLoader,GootLoader,False,False,80.0
828,GootLoader,GootLoader,False,False,85.0
829,GootLoader,GootLoader,False,False,82.0
830,GootLoader,GootLoader,False,False,83.0
831,GootLoader,GootLoader,False,False,85.0
832,GootLoader,GootLoader,False,False,79.0
833,GootLoader,GootLoader,False,False,85.0
834,GootLoader,GootLoader,False,False,85.0
835,GootLoader,GootLoader,False,False,83.0
836,GootLoader,GootLoader,False,False,82.0
837,GootLoader,GootLoader,False,False,85.0
838,GootLoader,GootLoader,False,False,82.0
839,GootLoader,GootLoader,False,False,83.0
840,GootLoader,GootLoader,False,False,85.0
841,GootLoader,GootLoader,False,False,83.0
842,GootLoader,GootLoader,False,False,85.0
843,GootLoader,GootLoader,False,False,82.0
844,GootLoader,GootLoader,False,False,82.0
845,GootLoader,GootLoader,False,False,83.0
846,GootLoader,GootLoader,False,False,88.0
847,GootLoader,GootLoader,False,False,83.0
848,GootLoader,GootLoader,False,False,85.0
849,GootLoader,GootLoader,False,False,82.0
850,GootLoader,GootLoader,False,False,83.0
851,GootLoader,GootLoader,False,False,83.0
852,GootLoader,GootLoader,False,False,83.0
853,GootLoader,GootLoader,False,False,85.0
854,GootLoader,GootLoader,False,False,85.0
855,GootLoader,GootLoader,False,False,88.0
856,GootLoader,GootLoader,False,False,83.0
857,GootLoader,GootLoader,False,False,80.0
858,GootLoader,GootLoader,False,False,86.0
859,GootLoader,GootLoader,False,False,82.0
860,GootLoader,GootLoader,False,False,82.0
861,GootLoader,GootLoader,False,False,85.0
862,GootLoader,GootLoader,False,False,82.0
863,GootLoader,GootLoader,False,False,86.0
864,GootLoader,GootLoader,False,False,85.0
865,GootLoader,GootLoader,False,False,83.0
866,GootLoader,GootLoader,False,False,83.0
867,GootLoader,GootLoader,False,False,83.0
868,GootLoader,GootLoader,False,False,82.0
869,GootLoader,GootLoader,False,False,85.0
870,GootLoader,GootLoader,False,False,79.0
871,GootLoader,GootLoader,False,False,82.0
872,GootLoader,GootLoader,False,False,85.0
873,GootLoader,GootLoader,False,False,83.0
874,GootLoader,GootLoader,False,False,83.0
875,GootLoader,GootLoader,False,False,83.0
876,GootLoader,GootLoader,False,False,85.0
877,GootLoader,GootLoader,False,False,85.0
878,GootLoader,GootLoader,False,False,86.0
879,GootLoader,GootLoader,False,False,83.0
880,GootLoader,GootLoader,False,False,82.0
881,GootLoader,GootLoader,False,False,83.0
882,GootLoader,GootLoader,False,False,80.0
883,GootLoader,GootLoader,False,False,86.0
884,GootLoader,GootLoader,False,False,83.0
885,GootLoader,GootLoader,False,False,82.0
886,GootLoader,GootLoader,False,False,85.0
887,GootLoader,GootLoader,False,False,82.0
888,GootLoader,GootLoader,False,False,85.0
889,GootLoader,GootLoader,False,False,85.0
890,GootLoader,GootLoader,False,False,85.0
891,GootLoader,GootLoader,False,False,80.0
892,GootLoader,GootLoader,False,False,80.0
893,GootLoader,GootLoader,False,False,83.0
894,GootLoader,GootLoader,False,False,85.0
895,GootLoader,GootLoader,False,False,82.0
896,GootLoader,GootLoader,False,False,82.0
897,GootLoader,GootLoader,False,False,85.0
898,GootLoader,GootLoader,False,False,85.0
899,GootLoader,GootLoader,False,False,86.0
900,GootLoader,GootLoader,False,False,83.0
901,GootLoader,GootLoader,False,False,82.0
902,GootLoader,GootLoader,False,False,82.0
903,GootLoader,GootLoader,False,False,85.0
904,GootLoader,GootLoader,False,False,83.0
